epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,1461.13,0.86454,0.90543,1.0788,0.69835,0.79245,0.72652,0.50318,1.04722,1.02172,1.16824,0.0006932,0.0006932,0.0006932
35,4903.83,0.93887,0.88736,1.13654,0.64809,0.76452,0.67079,0.45215,1.14882,1.26921,1.27759,0.0006536,0.0006536,0.0006536
35,1638.76,0.95942,0.89614,1.14389,0.69875,0.7878,0.72304,0.485,1.09029,1.03347,1.27104,0.0006536,0.0006536,0.0006536
36,5094.81,0.91042,0.89417,1.14015,0.67493,0.73585,0.68256,0.46375,1.15301,1.06185,1.27177,0.000614,0.000614,0.000614
36,1820.95,0.92634,0.87078,1.12637,0.62618,0.79245,0.69708,0.46699,1.13314,1.11025,1.28056,0.000614,0.000614,0.000614
37,5280.97,0.88859,0.84011,1.10748,0.7538,0.71698,0.74221,0.51251,1.09092,1.04282,1.27799,0.0005744,0.0005744,0.0005744
37,1992.34,0.85616,0.84002,1.0577,0.68771,0.77358,0.72702,0.49207,1.11885,1.00783,1.28672,0.0005744,0.0005744,0.0005744
38,5469.15,0.96495,0.88889,1.15856,0.69311,0.81132,0.76067,0.52327,1.05017,0.9794,1.20094,0.0005348,0.0005348,0.0005348
38,2165.39,0.8939,0.81061,1.10685,0.70832,0.77358,0.7197,0.49762,1.08748,0.99171,1.24602,0.0005348,0.0005348,0.0005348
39,5661.15,0.8335,0.78252,1.06164,0.72502,0.74632,0.74727,0.52387,1.05082,0.99942,1.20996,0.0004952,0.0004952,0.0004952
39,2346.78,0.88345,0.85935,1.1215,0.73961,0.75472,0.72782,0.50502,1.06374,0.96413,1.18233,0.0004952,0.0004952,0.0004952
40,2523.29,0.87082,0.80415,1.08013,0.68629,0.77358,0.71321,0.50419,1.07304,1.05847,1.20089,0.0004556,0.0004556,0.0004556
40,5847.15,0.86817,0.82942,1.09399,0.71213,0.7469,0.70342,0.49242,1.00036,1.16577,1.17467,0.0004556,0.0004556,0.0004556
41,2696.59,0.85568,0.82885,1.11847,0.7079,0.73169,0.71489,0.5119,1.06727,0.98134,1.21757,0.000416,0.000416,0.000416
41,6030.19,0.83127,0.82158,1.09091,0.72296,0.71698,0.69124,0.48615,1.05472,1.09894,1.22512,0.000416,0.000416,0.000416
42,2862.8,0.83784,0.77436,1.08694,0.72123,0.73228,0.71819,0.4874,1.10849,1.00953,1.22152,0.0003764,0.0003764,0.0003764
42,6212.82,0.8204,0.75743,1.10144,0.73478,0.73585,0.71049,0.48777,1.09213,1.01958,1.22518,0.0003764,0.0003764,0.0003764
43,3029.8,0.81006,0.71863,1.07579,0.70537,0.7228,0.72073,0.48712,1.11209,0.9982,1.23133,0.0003368,0.0003368,0.0003368
43,6396.82,0.7931,0.70061,1.06304,0.7024,0.77358,0.73657,0.51542,1.03722,0.99295,1.20861,0.0003368,0.0003368,0.0003368
44,3196.73,0.78491,0.69552,1.07552,0.70935,0.79245,0.74674,0.50774,1.09595,0.94214,1.2309,0.0002972,0.0002972,0.0002972
44,6580.23,0.77352,0.67245,1.07879,0.76043,0.77863,0.73772,0.52054,1.05112,0.94551,1.22517,0.0002972,0.0002972,0.0002972
45,3363.11,0.79338,0.72174,1.07433,0.75152,0.77358,0.74762,0.51973,1.0561,0.94067,1.20976,0.0002576,0.0002576,0.0002576
45,6764.42,0.79702,0.65788,1.07788,0.77621,0.73585,0.7205,0.49326,1.05855,1.05087,1.19767,0.0002576,0.0002576,0.0002576
46,3529.99,0.75923,0.65319,1.06958,0.7357,0.78785,0.76606,0.53301,1.05846,0.89685,1.19797,0.000218,0.000218,0.000218
46,6946.09,0.7861,0.67299,1.06889,0.745,0.77358,0.77486,0.50508,1.0488,1.03683,1.16687,0.000218,0.000218,0.000218
47,3695.9,0.73348,0.69504,1.0432,0.7826,0.77358,0.76548,0.53505,1.04144,0.88531,1.17085,0.0001784,0.0001784,0.0001784
47,7123.51,0.76461,0.66974,1.05523,0.72582,0.77358,0.72068,0.50734,1.03614,0.94872,1.178,0.0001784,0.0001784,0.0001784
48,3860.18,0.74684,0.65497,1.03122,0.77555,0.78241,0.75278,0.53144,1.03872,0.89828,1.15777,0.0001388,0.0001388,0.0001388
48,7304.72,0.76335,0.6526,1.04897,0.73599,0.75472,0.72706,0.51117,1.04409,0.95028,1.18993,0.0001388,0.0001388,0.0001388
49,4024.02,0.73358,0.63802,1.03721,0.77509,0.79245,0.73664,0.51737,1.04388,0.88669,1.15534,9.92e-05,9.92e-05,9.92e-05
49,7480.1,0.72212,0.66169,1.01602,0.73396,0.75472,0.72657,0.51226,1.05128,0.94932,1.18777,9.92e-05,9.92e-05,9.92e-05
50,4188.36,0.72925,0.61961,1.06526,0.77489,0.79245,0.74006,0.5179,1.04492,0.87976,1.15891,5.96e-05,5.96e-05,5.96e-05
50,7590.68,0.73053,0.61902,1.03884,0.71763,0.75472,0.72372,0.51054,1.05237,0.96183,1.17843,5.96e-05,5.96e-05,5.96e-05
